ppid,district,ward,village,sub_village,genda,agegrp,age,edu,occu,relign,marital,,havdog,howlong,edudb,ratedbknw,comwitdog,recdogcom,bodilangscore,trncatcdog,ratecatcdog,easycatcdog,knwcatcdog,trnholddog,easyholddog,crrctcalmdog,crrctsmlldog,crrctbigdog,doghadlinscore,dogbite,feardog,avoidatack,avoidattackscore,limitinjury,limitinjuryscore,vaccrashes,vaccreprodc,vaccbark,vaccdie,vacclastt
34,2,1,5,13,2,1,22,1,3,2,1,,0,0,0,2,,,6,0,2,2,3,0,3,3,1,2,6,0,1,3,1,2,0,0,0,0,0,0
35,1,2,1,2,2,0,14,1,1,3,0,,2,0.498,0,0,0,0,3,0,0,3,3,0,3,2,2,3,7,0,2,0,0,0,0,0,0,0,0,1
36,1,2,1,2,1,0,14,1,1,3,1,,2,3,0,0,1,1,1,0,3,3,3,0,3,2,3,2,7,0,1,3,1,3,1,0,0,0,0,1
37,1,2,1,2,1,0,14,1,1,2,0,,2,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,2,3,0,3,1,0,0,0,0,0
38,1,2,1,2,1,0,18,1,0,1,0,,2,0.41499999,0,3,3,3,3,0,3,3,2,0,3,2,3,3,8,1,2,3,2,3,3,0,0,0,0,0
39,1,2,1,2,2,0,18,1,3,2,0,,0,0,0,0,,,2,0,0,2,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
40,1,2,1,2,1,1,39,1,3,3,1,,2,0.16599999,0,1,3,1,1,0,1,1,1,0,1,1,1,3,5,1,3,0,0,1,1,1,0,0,0,0
41,1,2,1,2,1,1,25,1,3,3,1,,2,19,0,0,4,0,4,0,4,0,3,0,0,1,1,3,5,0,0,3,1,3,0,1,0,0,0,1
42,1,2,1,2,2,1,20,0,3,3,1,,2,3.415,0,1,3,2,4,0,1,2,1,0,2,1,1,2,4,1,2,3,2,2,0,0,0,0,0,1
43,1,2,1,2,2,1,28,0,3,3,1,,2,7,0,1,1,2,2,0,0,1,3,0,1,1,1,0,2,0,3,1,0,0,0,0,0,0,0,1
44,1,2,1,2,1,1,22,0,3,0,1,,2,4.415,0,0,3,3,4,0,2,3,2,0,2,2,2,2,6,0,2,3,1,3,3,0,0,0,0,0
45,1,2,1,2,1,0,14,1,1,2,0,,0,0,0,1,,,2,0,2,0,0,0,0,0,1,3,4,0,2,3,3,3,1,0,0,0,0,1
46,1,2,1,2,1,2,70,1,3,3,1,,2,1.415,0,3,3,3,5,0,3,3,2,0,3,2,2,3,7,0,2,3,3,3,1,0,0,0,0,0
47,1,2,1,2,2,0,19,1,0,3,1,,0,0,0,2,,,1,0,2,3,2,0,3,2,2,2,6,0,2,3,1,3,3,0,0,0,0,1
48,1,2,1,2,2,0,14,1,1,3,0,,2,1,0,0,0,0,1,0,0,1,3,0,1,0,1,3,4,0,3,3,0,0,0,0,0,0,0,1
49,1,2,1,2,1,0,19,1,3,2,0,,2,0,0,0,3,3,4,0,1,3,2,0,2,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0
50,1,2,1,2,2,1,20,0,0,3,1,,0,0,0,2,,,1,0,2,2,1,0,2,2,0,0,2,1,2,2,2,2,2,0,0,0,0,1
51,1,2,1,2,1,1,22,0,3,3,1,,2,5,0,0,1,1,3,0,0,0,1,0,0,1,1,0,2,0,3,0,0,0,0,0,0,0,0,1
52,1,2,1,2,2,0,18,2,1,3,0,,2,5.4980001,0,1,3,1,2,0,1,3,1,0,1,1,0,3,4,1,3,1,0,1,1,0,0,0,0,1
53,1,2,1,2,1,1,28,2,2,2,2,,1,1,0,2,0,0,2,0,2,1,1,0,2,2,2,2,6,0,0,0,2,2,3,1,0,0,0,0
54,1,2,4,9,2,1,22,1,3,3,1,,2,13.083,0,1,3,3,2,0,2,3,2,0,3,2,2,2,6,0,2,3,1,3,2,0,0,0,0,0
55,1,2,4,9,1,1,39,0,3,3,1,,0,0,0,2,,,1,0,2,3,2,0,2,2,2,2,6,1,2,3,1,3,3,0,0,0,0,1
56,1,2,4,9,2,0,15,1,1,2,0,,2,3,0,2,3,2,8,0,2,2,2,0,2,1,1,3,5,1,3,2,0,2,0,0,0,0,0,0
57,1,2,4,9,2,0,15,1,3,3,1,,0,0,0,0,,,6,0,0,2,1,0,3,1,1,3,5,0,3,3,1,2,0,0,0,0,0,1
58,1,2,4,9,1,0,15,1,1,3,0,,2,5,0,1,0,0,5,0,1,1,3,0,2,1,1,2,4,0,3,3,1,2,0,0,0,0,0,1
59,1,2,4,9,1,1,22,0,3,0,1,,0,0,0,2,,,2,0,3,3,2,0,3,2,2,2,6,1,3,3,1,3,4,0,0,0,0,1
60,1,2,4,9,1,0,18,1,1,1,0,,2,0.498,0,0,0,0,2,0,0,0,3,0,0,2,1,3,6,0,1,3,0,2,0,0,0,0,0,0
61,1,2,4,9,1,1,22,0,3,3,1,,2,8,0,0,1,1,2,0,0,1,2,0,1,0,0,0,0,0,3,1,0,2,0,0,0,0,0,1
62,1,2,4,9,1,1,25,1,3,1,1,,2,2,0,0,4,4,4,0,1,0,0,0,0,0,0,0,0,0,3,3,0,3,1,1,0,0,0,0
63,1,2,4,9,1,1,40,1,2,2,1,,0,0,0,1,,,15,0,1,1,3,0,1,3,3,2,8,0,0,3,1,3,0,0,0,0,0,1
64,1,2,4,9,1,1,20,0,3,3,1,,2,3,0,1,1,1,1,0,2,1,1,0,1,1,1,3,5,1,3,2,1,2,1,0,0,0,0,0
65,1,2,4,9,2,2,70,1,3,3,1,,2,20,0,2,2,3,5,0,3,3,3,0,3,2,2,3,7,0,0,3,0,1,0,0,0,0,0,1
66,1,2,4,9,2,1,32,0,3,1,1,,2,15.664,0,2,3,3,1,0,2,0,1,0,2,2,1,0,3,0,3,3,0,3,0,0,0,0,0,1
67,1,2,4,9,1,1,40,1,3,3,1,,0,0,0,0,,,10,0,0,1,3,0,1,1,1,3,5,1,3,3,0,1,0,0,0,0,0,0
68,1,2,4,9,1,1,40,0,3,2,1,,0,0,0,0,,,8,0,0,2,0,0,2,0,0,0,0,0,3,3,2,3,1,0,0,0,0,0
69,1,2,4,9,2,0,15,1,1,2,0,,2,5.7470002,0,1,2,3,4,0,2,2,0,0,1,1,1,3,5,0,3,2,0,2,0,0,0,0,0,0
70,1,2,4,9,1,1,25,1,3,3,1,,2,0.16599999,0,3,3,3,3,0,3,3,2,0,3,2,2,2,6,1,2,3,2,3,3,0,0,0,0,0
71,1,2,4,9,1,0,19,1,3,1,1,,2,1.415,0,2,3,3,1,0,3,3,2,0,3,2,2,2,6,0,2,3,1,3,2,0,0,0,0,0
72,1,2,4,9,1,0,17,1,0,3,0,,2,0,0,0,2,2,1,0,4,3,2,0,4,0,0,0,0,0,2,4,1,3,1,0,0,0,0,0
73,1,2,4,9,1,1,28,0,0,3,1,,0,0,0,2,,,1,0,2,2,0,0,2,0,0,0,0,0,3,2,1,2,1,0,0,0,0,1
74,1,2,4,9,1,1,22,1,3,3,1,,0,0,0,0,,,1,0,0,2,0,0,2,0,0,0,0,0,3,2,1,2,1,0,0,0,0,1
75,1,2,4,9,2,0,16,1,1,2,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,3,4,0,3,0,0,0,0,0,0,0,0,1
76,1,2,4,9,1,1,46,0,3,0,1,,0,0,0,2,,,1,0,2,2,0,0,2,0,0,0,0,0,0,2,1,3,2,0,0,0,0,1
77,1,2,4,9,1,1,28,0,3,3,1,,0,0,0,0,,,1,0,0,0,0,0,2,1,1,3,5,1,2,3,1,2,1,0,0,0,0,1
78,1,2,4,9,1,1,32,0,3,3,1,,2,3,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,1,3,1,0,3,0,0,0,0,0,0
79,1,2,4,9,1,1,20,0,3,3,0,,0,0,0,3,,,1,0,2,2,2,0,3,2,2,2,6,1,2,3,1,3,2,0,0,0,0,0
80,1,2,4,9,1,0,19,0,3,3,0,,0,0,0,3,,,1,0,1,2,2,0,2,1,1,3,5,0,2,2,1,2,1,0,0,0,0,0
81,1,2,4,9,1,1,28,0,3,3,1,,2,5,0,2,2,2,1,0,2,2,1,0,2,2,1,3,6,1,2,3,1,3,1,0,0,0,0,0
83,1,2,4,9,1,1,40,1,3,3,1,,2,0.74699998,0,2,4,3,7,0,2,3,2,0,3,3,3,2,8,1,2,3,7,3,5,0,0,0,0,0
83,1,2,4,9,2,1,46,0,3,1,1,,2,10,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1
84,1,2,4,9,1,1,47,1,3,3,1,,2,20.747,0,1,3,3,14,0,2,3,2,0,3,2,2,2,6,1,3,3,1,3,1,0,0,0,0,0
85,1,2,4,9,2,1,22,1,3,2,1,,1,0,0,2,,,1,0,2,3,2,0,3,1,1,0,2,0,1,3,1,3,0,0,0,0,0,1
86,1,2,4,9,1,1,25,0,3,3,1,,2,5.1659999,0,4,4,3,3,0,3,3,2,0,3,2,3,2,7,0,2,4,1,3,3,0,0,0,0,0
87,1,2,4,9,2,1,20,0,3,3,1,,2,5.4980001,0,1,3,2,4,0,0,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
88,1,2,4,9,2,0,18,1,1,0,0,,2,5.1659999,0,0,3,3,1,0,2,3,0,0,2,0,2,2,4,0,1,2,1,2,1,0,0,0,0,0
89,1,2,4,9,1,1,25,0,3,3,0,,2,14.166,0,2,3,3,2,0,2,2,2,0,3,2,2,2,6,1,2,3,1,3,3,0,0,0,0,0
90,1,2,4,9,1,0,19,1,3,3,1,,2,1,0,0,0,0,1,0,1,1,3,0,3,2,2,3,7,0,0,3,2,1,0,0,0,0,0,1
91,1,2,4,9,1,1,47,1,3,3,1,,2,35,0,0,3,3,12,0,1,3,2,0,3,2,2,2,6,1,3,3,2,2,0,0,0,0,0,0
92,1,2,4,9,2,0,14,1,1,2,0,,2,3,0,0,3,2,6,0,0,2,3,0,2,2,1,3,6,0,0,2,0,2,0,0,0,0,0,0
92,1,2,4,9,1,1,40,1,3,2,1,,2,2,0,0,3,3,7,0,0,2,2,0,2,3,1,3,7,0,2,3,1,2,0,0,0,0,0,0
94,1,2,4,9,1,1,20,1,3,2,0,,2,10.498,0,1,3,1,3,0,1,1,1,0,1,1,1,3,5,1,1,3,1,3,1,0,0,0,0,0
95,1,2,4,9,1,1,20,1,3,3,0,,2,0.498,0,1,4,1,3,0,1,1,0,0,1,0,0,0,0,1,1,3,1,3,0,0,0,0,0,0
96,1,2,4,9,2,0,19,0,3,3,1,,2,3,0,0,0,0,1,0,2,0,1,0,0,1,1,3,5,0,2,1,0,1,0,0,0,0,0,0
97,1,2,4,9,2,1,32,1,3,3,1,,2,10,0,0,1,1,1,0,0,0,3,0,1,1,1,3,5,0,2,1,0,1,0,0,0,0,0,1
98,1,2,4,9,1,1,33,1,3,3,1,,2,13.415,0,3,3,3,5,0,3,3,2,1,3,2,2,3,7,1,2,3,2,3,4,0,0,0,0,0
99,1,2,4,9,1,0,17,0,0,3,0,,2,2,0,1,3,1,4,0,2,4,1,0,3,1,0,3,4,0,2,3,0,3,0,0,0,0,0,1
100,1,2,4,9,1,1,22,1,3,3,1,,2,2.415,0,0,3,2,1,0,0,2,0,0,2,0,0,0,0,0,2,3,1,3,1,0,0,0,0,0
101,1,2,4,9,2,0,15,0,3,3,0,,2,3,0,2,3,3,4,0,1,1,3,0,2,1,2,3,6,0,1,1,0,1,0,0,0,0,0,1
102,1,2,4,9,2,1,25,0,3,3,1,,2,1,0,0,0,1,2,0,0,0,3,0,0,1,1,3,5,0,0,0,1,1,0,0,0,0,0,1
103,1,2,4,9,2,1,33,1,0,2,0,,0,0,0,0,,,1,0,0,2,0,0,2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0
104,1,2,4,9,1,1,22,1,3,3,0,,2,5,0,1,0,1,1,0,1,2,3,0,3,1,1,3,5,0,1,2,0,2,0,0,0,0,0,0
105,1,2,4,9,2,1,40,1,3,3,1,,2,19,0,2,4,0,7,0,4,0,3,0,0,0,0,0,0,0,3,3,1,3,1,0,0,0,0,0
106,1,2,4,9,1,1,28,0,3,3,1,,0,0,0,3,,,1,0,1,1,1,0,2,2,2,2,6,0,2,3,1,3,3,0,0,0,0,0
135,1,2,1,14,1,1,33,1,3,2,1,,2,6,0,2,3,3,1,0,2,3,2,0,3,2,2,2,6,0,2,2,1,3,2,0,0,0,0,0
136,1,2,1,14,2,1,47,1,3,2,1,,0,0,0,1,,,7,0,0,2,2,0,2,2,1,3,6,0,3,3,2,2,0,0,0,0,0,1
137,1,2,1,14,1,1,40,1,3,3,1,,2,3,0,3,3,3,6,0,3,3,3,0,3,0,1,3,4,1,0,3,2,3,0,0,0,0,0,0
138,1,2,1,14,1,2,70,1,3,3,1,,2,20,0,3,4,0,5,0,2,4,3,0,3,1,1,3,5,0,0,3,2,3,1,1,0,0,1,1
139,1,2,1,14,2,1,34,1,2,3,1,,2,2,0,2,3,3,9,0,3,3,3,0,3,2,2,2,6,0,0,3,2,3,1,0,0,0,0,0
140,1,2,1,14,1,1,40,1,3,3,1,,2,3.1659999,0,3,3,3,6,0,3,3,2,0,3,2,2,2,6,1,2,3,1,3,3,0,0,0,0,0
141,1,2,1,14,1,2,70,1,3,3,1,,2,20,0,0,4,1,4,0,4,0,3,0,0,0,3,3,6,1,3,3,1,3,1,0,0,0,0,1
142,1,2,1,14,2,1,20,0,3,3,1,,2,0.249,0,2,3,2,1,0,0,1,0,0,3,2,1,3,6,0,2,2,1,3,1,0,0,0,0,0
143,1,2,1,14,1,1,47,1,3,3,1,,2,2,0,2,3,2,6,0,0,1,3,0,0,2,2,2,6,0,2,3,0,3,0,0,0,0,0,1
144,1,2,1,14,1,1,47,1,2,2,1,,2,4,0,1,2,2,4,0,1,3,2,0,2,1,1,3,5,0,2,3,0,2,1,1,0,0,0,0
145,1,2,1,14,1,1,22,1,3,3,1,,0,0,0,1,,,0,0,2,1,3,0,0,2,1,3,6,0,3,1,1,0,0,0,0,0,0,0
146,1,2,1,14,2,1,47,1,3,2,1,,2,10,0,2,3,3,3,0,2,3,2,0,1,0,1,0,1,1,2,3,1,3,0,0,0,0,0,0
147,1,2,1,14,2,0,19,0,3,3,0,,2,0.16599999,0,2,3,3,0,0,1,2,3,0,0,0,1,2,3,0,3,3,0,2,0,0,0,0,0,0
148,1,2,1,14,1,1,40,1,3,3,1,,2,10,0,0,4,0,6,0,4,0,0,0,0,0,0,0,0,1,3,3,3,3,2,0,0,0,0,1
149,1,2,1,14,1,1,47,1,3,3,1,,2,1,0,2,3,3,3,0,1,2,2,0,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0
150,1,2,1,14,1,1,47,1,3,2,1,,2,2,0,2,3,3,2,0,2,3,2,0,3,0,1,0,1,1,3,3,0,3,0,0,0,0,0,0
151,1,2,1,14,2,2,70,0,3,3,1,,2,10.415,0,2,3,0,4,0,0,4,2,0,3,0,1,3,4,1,2,3,1,3,0,1,0,0,0,1
152,1,2,1,14,2,1,20,1,3,1,1,,2,6,0,2,0,2,1,0,1,1,3,0,2,1,1,3,5,1,3,1,0,2,0,0,0,0,0,1
152,1,2,1,14,1,1,47,1,3,2,1,,2,2,0,2,3,3,2,0,2,3,2,0,2,1,1,0,2,1,3,3,1,3,0,0,0,0,0,0
154,1,2,1,14,2,1,47,0,3,3,1,,0,0,0,0,,,1,0,0,2,0,0,2,0,0,0,0,0,2,2,1,2,1,0,0,0,0,1
155,1,2,1,14,2,1,48,1,3,2,1,,0,0,0,3,,,9,1,4,4,3,1,4,3,3,3,9,1,0,3,4,3,1,0,0,0,0,1
156,1,2,1,14,1,1,48,1,3,3,1,,2,30.664,0,2,3,3,9,0,2,3,2,0,3,2,2,2,6,1,2,3,0,3,1,0,0,0,0,1
157,1,2,1,14,2,1,48,2,3,3,1,,2,30,0,3,3,3,9,0,3,3,3,0,3,1,1,3,5,0,0,3,2,3,1,0,0,0,0,1
158,1,2,1,14,2,2,70,1,3,3,1,,2,34.498001,0,0,4,0,4,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
159,1,2,1,14,1,1,48,1,3,2,1,,2,8,0,1,3,2,6,0,0,2,0,0,2,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0
160,1,2,1,14,2,1,48,1,2,2,1,,2,2,0,3,1,1,6,0,2,1,2,0,1,2,1,2,5,1,3,3,1,3,1,0,0,0,0,0
161,1,2,1,14,2,1,48,0,3,3,1,,2,10,0,2,3,3,6,0,2,1,1,0,1,1,0,0,1,0,3,2,0,3,0,0,0,0,0,1
162,1,2,1,14,1,1,48,1,3,3,1,,2,5.1659999,1,3,3,3,5,0,3,3,2,1,3,2,3,3,8,1,2,3,2,3,3,0,0,0,0,0
163,1,2,1,14,1,2,70,1,0,3,0,,2,1.747,0,1,2,2,3,0,0,2,0,0,2,0,0,0,0,0,3,3,1,3,1,0,0,0,0,0
165,1,2,4,9,1,1,48,1,3,2,1,,2,0.33199999,0,2,2,2,5,0,1,1,2,0,2,1,1,3,5,0,2,1,0,1,0,0,0,0,0,0
166,1,2,4,9,2,1,48,1,3,0,1,,2,20.497999,0,3,3,3,3,0,2,3,2,0,3,2,2,2,6,1,2,3,1,3,2,0,0,0,0,0
167,1,2,4,9,1,1,48,0,3,0,1,,2,1,0,0,2,2,1,0,0,1,2,0,2,0,2,0,2,0,2,0,1,2,1,0,0,0,0,0
168,1,2,4,9,1,1,48,0,3,3,1,,0,0,0,2,,,1,0,0,0,0,0,2,2,2,3,7,0,3,3,1,3,1,0,0,0,0,0
169,1,2,4,9,1,1,49,1,3,3,1,,2,2,0,2,3,3,9,0,3,3,3,0,1,0,1,2,3,1,1,3,1,2,0,0,0,0,0,1
170,1,2,4,9,2,1,49,1,3,3,1,,2,3,0,3,3,3,6,0,1,3,3,0,3,2,3,3,8,1,3,3,0,3,1,0,0,0,0,1
171,1,2,4,9,1,1,49,1,3,3,1,,2,10,0,2,3,3,5,0,2,3,3,0,3,1,1,2,4,1,0,3,2,3,0,0,0,0,1,0
172,1,2,4,9,1,1,49,0,3,3,1,,2,20,0,2,3,3,1,0,1,1,3,0,1,0,1,3,4,0,3,3,0,2,0,0,0,0,0,0
173,1,2,4,9,1,1,49,0,3,3,1,,2,1,0,2,1,1,0,0,1,2,2,0,2,0,0,0,0,0,2,3,1,2,0,0,0,0,0,0
174,1,2,4,9,2,2,50,0,3,3,1,,2,30,0,0,3,3,14,0,1,1,3,0,3,2,2,3,7,0,3,3,0,0,0,0,0,0,0,0
175,1,2,4,9,2,2,50,0,3,3,1,,2,30.747,0,1,3,3,11,0,1,3,1,0,3,1,0,0,1,0,2,3,1,3,1,0,0,0,0,0
176,1,2,4,9,2,2,50,1,3,2,1,,0,0,0,0,,,9,0,0,2,0,0,2,0,0,0,0,0,3,3,1,2,0,0,0,0,0,1
177,1,2,4,9,1,2,70,1,3,0,1,,0,0,0,2,,,3,0,3,3,2,1,3,2,2,3,7,1,2,3,2,3,4,0,0,0,0,1
178,1,2,4,9,2,2,50,1,3,2,1,,2,0.498,0,0,2,2,8,0,1,3,2,0,3,2,2,2,6,0,3,3,2,3,1,0,0,0,0,0
179,1,2,4,9,1,2,50,2,3,3,1,,2,10,0,3,4,4,8,0,3,3,3,0,3,3,3,3,9,0,0,3,2,3,1,0,0,0,0,0
180,1,2,4,9,1,2,50,1,3,2,1,,0,0,0,2,,,7,0,0,2,3,0,3,3,1,3,7,0,0,3,0,2,1,0,0,0,0,1
181,1,2,4,9,2,2,50,1,3,3,1,,2,15,0,2,4,4,6,0,2,3,2,0,3,3,3,3,9,1,0,3,2,3,2,0,0,0,0,0
182,1,2,4,9,2,1,34,0,3,3,1,,2,8,0,2,3,3,9,0,0,0,3,0,0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1
183,1,2,4,9,2,2,50,1,3,3,1,,2,10,0,2,4,4,6,0,3,4,3,0,3,3,1,3,7,0,3,3,2,3,1,0,0,0,0,0
184,1,2,4,9,1,2,50,1,3,3,1,,2,20,0,2,4,0,5,0,2,4,3,0,3,2,1,3,6,0,3,3,2,3,1,0,0,0,1,1
185,1,2,4,9,2,2,50,1,3,3,1,,2,10,0,0,4,0,5,0,2,0,0,0,0,0,0,0,0,0,3,3,1,3,0,0,0,0,0,0
186,1,2,4,9,1,2,50,0,3,3,1,,2,5,0,0,0,0,5,0,0,0,2,0,1,1,0,3,4,0,2,1,0,2,0,0,0,0,0,1
187,1,2,4,9,1,2,50,1,3,3,1,,2,3,0,1,4,0,4,0,2,1,1,0,1,1,0,0,1,0,3,3,1,3,1,0,0,0,1,1
188,1,2,4,9,2,1,25,1,3,3,1,,2,5,0,3,1,0,2,0,3,1,3,0,2,1,1,3,5,0,2,3,0,2,0,0,0,0,0,1
189,1,2,4,9,2,1,40,1,2,2,1,,2,1,0,0,0,0,5,0,0,0,3,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0
190,1,2,4,9,1,2,50,1,3,3,1,,2,10,0,2,4,4,4,0,2,3,3,0,3,2,3,3,8,0,0,3,1,3,2,0,0,0,0,0
191,1,2,4,9,2,1,40,1,3,3,1,,2,30.664,0,3,3,3,5,0,3,3,2,0,3,2,2,2,6,1,2,3,2,3,3,0,0,0,0,0
192,1,2,4,9,2,1,34,1,3,3,1,,2,8,0,3,3,3,9,0,3,3,3,0,3,3,2,3,8,0,0,3,0,3,1,0,0,0,0,1
193,1,2,4,9,1,2,50,1,3,3,1,,2,12,0,0,4,0,4,0,2,4,1,0,1,1,1,3,5,0,0,3,1,3,1,0,0,0,0,0
194,1,2,4,9,2,2,50,1,3,3,1,,2,20,0,2,3,3,3,0,2,3,3,0,3,0,0,3,3,0,3,3,0,3,0,0,0,0,0,1
195,1,2,4,9,2,1,25,1,3,3,1,,0,0,0,1,,,1,0,2,2,0,0,2,0,0,0,0,0,3,2,1,2,1,0,0,0,0,1
196,1,2,4,9,1,1,40,0,3,3,1,,2,1,0,1,1,1,5,0,0,0,1,0,1,1,1,3,5,0,3,3,2,2,0,0,0,0,0,1
197,1,2,4,9,2,1,34,1,3,2,1,,0,0,0,1,,,5,0,2,1,2,0,1,2,0,3,5,0,3,3,1,2,0,0,0,0,0,1
198,1,2,4,9,2,2,50,1,3,3,1,,2,12,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,0,0,0,1,0
199,1,2,4,9,2,1,34,1,3,2,1,,2,10,0,3,3,3,4,0,2,3,2,0,3,1,1,2,4,0,2,3,0,3,0,1,0,0,0,0
200,1,2,4,9,2,1,40,0,3,2,1,,2,2,0,1,3,3,3,0,1,3,3,0,3,0,2,3,5,1,1,3,0,2,0,0,0,0,0,0
201,1,2,4,9,2,1,40,0,3,3,1,,2,30,0,1,3,3,3,0,2,3,3,0,3,1,1,3,5,1,3,3,1,3,0,0,0,0,0,1
202,1,2,4,9,1,2,50,0,3,3,1,,2,1,0,0,0,1,3,0,0,1,3,0,0,1,1,3,5,0,3,2,0,1,0,0,0,0,0,1
203,1,2,4,9,1,2,50,0,3,3,1,,0,0,0,3,,,3,0,3,3,2,0,1,2,3,3,8,1,3,4,1,4,2,0,0,0,0,0
204,1,2,4,9,1,1,40,1,3,0,1,,2,12,0,0,3,3,3,0,2,2,2,1,3,3,3,3,9,1,2,3,1,3,3,0,0,0,0,0
205,1,2,4,9,1,1,40,0,3,3,1,,2,0,0,1,2,2,3,0,1,2,1,0,3,1,2,3,6,0,2,3,1,2,0,0,0,0,0,0
