ppid,district,ward,village,sub_village,Posters,Leaflets,Video_Screening,Village_Forum,none,mostmeans,rateknwdbnow,cannowcomdog,cannowrecdogcom,bodilangscorenow,ratecatcdognow,easycatcdognow,crrtcatcdognow,easyholddognow,crrctcalmdognow,crrctsmlldognow,crrctbigdognow,doghandlinscorenow,avoidatacknow,avoidatackscorenow,limitinjurynow,limitinjuryscorenow,vaccrashesnow,vaccreprodcnow,vaccbarknow,vaccdienow,vaccnextt,AggreScorefu
1,1,2,1,2,0,0,1,0,0,2,4,4,4,14,4,4,3,4,2,2,3,7,4,5,4,4,0,0,0,0,1,23
2,1,2,1,2,1,0,1,1,0,2,4,3,3,19,4,3,2,3,2,2,2,6,4,6,3,3,0,0,0,0,1,28
3,1,2,1,2,0,0,1,0,0,2,4,4,4,18,4,3,2,4,3,3,3,9,4,8,3,3,0,0,0,0,1,29
4,1,2,1,2,1,0,1,0,0,2,4,3,3,17,4,4,2,4,2,2,2,6,4,7,4,3,0,0,0,0,1,27
5,1,2,1,2,1,1,1,0,0,2,4,4,4,18,4,4,3,4,3,3,3,9,4,8,4,3,0,0,0,0,1,29
6,1,2,1,2,0,0,1,0,0,3,4,4,4,19,4,4,3,4,3,3,2,8,4,10,4,4,0,0,0,0,1,33
7,1,2,1,2,1,0,1,0,0,2,3,3,3,19,4,4,2,4,3,3,3,9,4,5,4,3,0,0,0,0,1,27
8,1,2,1,2,0,0,1,0,0,2,4,4,4,20,4,4,3,4,3,3,3,9,4,10,3,3,0,0,0,0,0,33
9,1,2,1,2,1,1,1,0,0,2,3,4,4,20,4,4,3,4,3,3,3,9,4,7,4,5,0,0,0,0,1,32
10,1,2,1,2,1,1,1,0,0,2,4,3,4,17,4,4,2,4,3,3,3,9,4,4,4,4,0,0,0,0,1,25
11,1,2,1,2,1,1,1,0,0,2,4,4,4,20,4,4,3,4,3,3,3,9,4,7,3,4,0,0,0,0,1,31
12,1,2,1,2,0,0,0,1,0,1,3,3,4,8,3,3,2,3,2,2,2,6,4,8,3,3,0,0,0,0,1,19
13,1,2,1,2,0,0,1,0,0,2,4,4,3,20,4,4,2,3,2,2,3,7,3,8,3,4,0,0,0,0,1,32
14,1,2,1,2,1,0,1,0,0,2,3,3,3,11,3,3,2,3,2,2,3,7,3,7,3,3,0,0,0,0,1,21
15,1,2,1,2,1,0,1,0,0,2,3,3,4,11,4,3,2,3,2,2,3,7,4,8,3,4,0,0,0,0,1,23
16,1,2,1,2,0,0,1,0,0,2,3,3,3,13,4,4,2,4,2,2,3,7,4,5,3,3,0,0,0,0,1,21
17,1,2,1,2,1,1,0,0,0,2,3,3,3,16,3,4,2,3,3,3,3,9,4,4,3,3,0,0,0,0,0,23
18,1,2,1,2,1,1,1,0,0,2,3,3,4,5,3,3,2,4,2,2,2,6,3,2,3,2,0,0,0,0,0,9
19,1,2,1,2,1,1,1,1,0,2,3,4,4,14,4,4,3,4,3,3,3,9,3,4,3,3,0,0,0,0,0,21
20,1,2,1,2,0,0,1,1,0,2,3,3,3,15,3,3,2,3,2,2,2,6,4,7,3,4,0,0,0,0,0,26
21,1,2,1,2,1,0,0,0,0,3,3,3,3,6,3,3,2,3,2,2,2,6,3,3,3,1,0,0,0,0,0,10
22,1,2,4,2,1,0,0,0,0,3,3,4,3,14,3,4,2,4,2,2,2,6,2,2,3,3,0,0,0,0,0,19
23,1,2,1,2,1,1,0,0,0,3,3,4,4,16,4,3,3,4,2,3,2,7,4,4,3,1,0,0,0,0,1,21
24,1,2,1,2,1,1,1,1,0,2,4,4,3,17,3,3,3,4,3,3,3,9,3,6,3,3,0,0,0,0,1,26
25,1,2,1,2,1,0,0,0,0,3,3,3,3,6,2,2,1,2,2,2,2,6,3,2,3,1,0,0,0,0,0,9
26,1,2,1,2,1,1,0,0,0,3,2,4,4,7,3,4,3,4,3,3,3,9,3,2,3,2,0,0,0,0,0,11
27,1,2,1,2,1,0,0,0,0,3,3,3,3,7,3,3,2,3,2,2,2,6,3,2,3,1,0,0,0,0,0,10
28,1,2,1,2,1,1,0,0,0,3,3,3,3,7,3,3,2,3,2,2,2,6,3,2,3,1,0,0,0,0,0,10
29,1,2,1,2,1,1,1,0,0,2,4,4,4,16,4,4,3,4,3,3,3,9,4,5,3,4,0,0,0,0,0,25
30,1,2,1,2,0,0,1,0,0,2,4,4,4,9,4,3,3,4,3,3,3,9,4,5,3,4,0,0,0,0,1,18
31,1,2,1,2,0,0,1,0,0,2,3,3,3,7,3,3,2,3,2,2,2,6,4,5,4,1,0,0,0,0,0,13
32,1,2,1,2,1,1,1,0,0,2,3,3,3,13,3,4,2,3,2,2,2,6,4,4,3,3,0,0,0,0,1,20
33,1,2,1,2,1,0,0,0,0,3,3,3,4,16,3,3,2,4,3,2,3,8,4,5,3,3,0,0,0,0,0,24
34,1,2,1,2,0,0,1,0,0,2,4,3,3,14,4,4,3,3,2,3,2,7,3,6,3,4,0,0,0,0,0,24
35,1,2,1,2,0,0,1,0,0,2,4,4,3,17,4,4,2,4,3,3,3,9,4,6,4,4,0,0,0,0,0,27
36,1,2,1,2,0,0,1,0,0,2,3,4,4,13,3,4,2,4,2,2,3,7,4,4,3,3,0,0,0,0,1,20
37,1,2,1,2,1,1,1,0,0,2,2,4,3,6,4,3,3,3,2,2,2,6,3,2,3,1,0,0,0,0,1,9
38,1,2,1,2,1,0,1,0,0,2,3,3,4,18,3,4,2,4,3,2,3,8,4,6,3,4,0,0,0,0,1,28
39,1,2,1,2,1,1,1,0,0,3,3,3,3,19,4,4,3,4,2,2,3,7,4,6,4,5,0,0,0,0,0,30
40,1,2,4,10,1,1,1,1,0,2,3,3,4,15,4,4,3,4,3,3,2,8,4,7,4,4,0,0,0,0,1,26
41,1,2,4,10,1,1,1,0,0,3,4,4,4,18,3,4,3,4,3,3,3,9,4,1,4,2,0,0,0,0,1,21
42,1,2,4,10,1,0,0,0,0,3,3,3,3,9,3,3,2,3,2,2,2,6,4,1,3,1,0,0,0,0,1,11
43,1,2,4,10,1,0,0,0,0,3,3,3,3,17,3,3,3,3,3,3,3,9,4,1,3,3,0,0,0,0,1,21
44,1,2,4,10,1,1,0,0,0,4,3,3,3,6,3,3,2,3,2,2,2,6,3,1,3,1,0,0,0,0,0,8
45,1,2,4,10,1,0,0,0,0,3,2,3,3,10,3,3,2,3,2,2,2,6,3,2,3,1,0,0,0,0,0,13
46,1,2,4,10,1,0,0,0,0,3,2,2,2,1,3,3,3,3,0,3,2,5,3,3,2,2,0,0,0,0,0,6
47,1,2,4,10,1,1,0,0,0,4,3,4,4,15,4,4,3,4,3,3,2,8,4,1,4,1,0,0,0,0,1,17
48,1,2,4,10,1,1,0,0,0,3,3,3,3,17,3,3,2,3,3,3,2,8,4,2,3,1,0,0,0,0,1,20
49,1,2,4,10,1,1,0,0,0,3,3,3,4,14,4,3,2,4,3,2,3,8,4,2,4,4,0,0,0,0,0,20
50,1,2,4,10,1,1,0,0,0,3,3,4,4,13,3,3,2,3,3,2,2,7,3,5,3,5,0,0,0,0,0,23
51,1,2,4,10,1,1,0,0,0,4,3,3,4,7,2,4,3,4,3,0,3,6,4,7,4,4,0,0,0,0,0,18
52,1,2,4,10,1,0,0,0,0,3,3,3,4,17,4,3,2,3,2,2,2,6,4,7,3,4,0,0,0,0,0,28
53,1,2,4,10,1,0,0,0,0,3,3,4,4,13,3,4,3,4,3,3,3,9,4,2,4,2,0,0,0,0,0,17
54,1,2,4,10,1,0,0,0,0,3,3,4,3,14,4,4,3,4,3,3,2,8,4,5,4,4,0,0,0,0,1,23
55,1,2,4,10,1,1,0,0,0,3,3,3,4,19,3,4,2,4,3,3,3,9,4,5,4,5,0,0,0,0,1,29
56,1,2,4,10,1,0,0,0,0,3,2,2,2,3,2,2,0,2,0,2,0,2,3,0,4,3,0,0,0,0,1,6
57,1,2,4,10,1,0,0,0,0,3,3,3,4,15,4,4,3,4,3,3,2,8,4,6,3,3,0,0,0,0,1,24
58,1,2,4,10,1,0,0,0,0,3,2,2,2,3,2,3,0,2,0,2,2,4,3,0,3,1,0,0,0,0,1,4
59,1,2,4,10,1,0,0,0,0,3,3,3,3,19,4,4,2,4,3,3,3,9,4,9,3,4,0,0,0,0,1,32
60,1,2,4,10,1,0,0,0,0,3,3,4,3,9,3,4,3,4,3,3,3,9,4,0,4,2,0,0,0,0,0,11
61,1,2,4,10,1,0,0,0,0,3,3,2,2,12,2,4,3,4,3,0,3,6,4,1,3,3,0,0,0,0,0,16
62,1,2,4,10,1,0,0,0,0,3,3,3,3,15,3,4,3,3,2,3,2,7,4,5,3,3,0,0,0,0,0,23
63,1,2,4,10,1,0,0,0,0,3,3,3,3,10,3,3,2,3,2,2,2,6,3,3,3,3,0,0,0,0,1,16
64,1,2,4,2,1,1,1,0,0,2,3,4,4,19,3,3,3,4,3,3,3,9,3,10,3,4,0,0,0,0,1,33
65,1,2,4,10,1,0,1,0,0,2,3,3,3,17,3,3,3,4,3,2,2,7,4,7,3,4,0,0,0,0,1,28
66,1,2,4,10,1,1,0,0,0,3,4,4,3,18,4,4,3,3,3,3,3,9,4,3,3,5,0,0,0,0,1,26
67,1,2,4,10,1,1,0,0,0,3,3,3,3,20,3,4,3,4,3,3,3,9,4,8,4,4,0,0,0,0,0,32
68,1,2,4,10,1,0,0,0,0,3,3,4,4,9,4,4,3,4,0,3,2,5,4,1,3,1,0,0,0,0,0,11
69,1,2,4,10,1,0,0,0,0,3,4,4,3,20,4,4,3,4,3,3,2,8,4,7,4,5,0,0,0,0,1,32
70,1,2,4,10,1,0,0,0,0,3,3,4,3,8,4,4,2,4,2,3,3,8,4,4,4,2,0,0,0,0,0,14
71,1,2,4,10,1,0,0,0,0,3,4,4,4,18,4,4,3,4,3,3,3,9,4,9,4,5,0,0,0,0,0,32
72,1,2,4,10,1,1,0,0,0,3,3,4,4,19,4,4,3,4,3,3,3,9,4,10,3,5,0,0,0,0,1,34
73,1,1,5,14,1,0,1,0,0,3,3,4,2,14,4,4,3,4,3,3,3,9,4,7,3,4,0,0,0,0,1,25
74,2,1,5,14,1,0,1,0,0,3,3,4,3,18,4,4,3,4,3,3,3,9,4,7,4,3,0,0,0,0,1,28
75,2,1,5,14,1,0,0,0,0,3,3,4,3,18,3,4,3,4,3,3,3,9,4,8,4,3,0,0,0,0,1,29
76,2,1,5,14,1,1,1,0,0,3,2,4,3,12,4,3,3,4,3,3,3,9,4,7,3,4,0,0,0,0,1,23
77,2,1,5,14,1,1,1,1,0,2,4,3,3,19,4,4,3,4,3,3,3,9,4,7,3,4,0,0,0,0,1,30
78,2,1,5,14,1,1,1,1,0,2,4,4,4,20,3,4,3,4,3,3,3,9,4,9,3,4,0,0,0,0,1,33
79,2,1,5,14,1,1,0,0,0,3,2,4,4,15,3,4,3,4,3,3,3,9,4,3,4,0,0,0,0,0,1,18
80,2,1,5,14,1,0,0,0,0,3,3,3,2,8,3,3,3,3,2,2,2,6,3,1,3,1,0,0,0,0,1,10
81,2,1,5,14,1,0,0,0,0,3,3,3,3,19,3,4,2,4,3,3,3,9,4,2,3,2,0,0,0,0,1,23
82,2,1,5,14,1,1,0,0,0,3,3,3,3,16,4,3,3,4,3,3,3,9,3,4,3,4,0,0,0,0,1,24
83,2,1,5,14,1,1,0,0,0,3,3,3,4,11,4,4,3,4,3,0,3,6,4,0,2,1,0,0,0,0,1,12
84,2,1,5,14,1,0,0,0,0,3,3,3,3,18,4,4,3,4,3,3,3,9,4,5,3,2,0,0,0,0,1,25
85,2,1,5,14,1,1,0,0,0,3,3,4,4,15,4,4,3,4,3,3,3,9,4,3,4,2,0,0,0,0,1,20
86,2,1,5,14,1,1,0,0,0,3,3,3,3,17,4,4,3,4,2,2,2,6,3,4,4,4,0,0,0,0,1,25
87,2,1,5,14,1,0,0,0,0,3,3,4,3,17,4,4,3,4,3,3,3,9,4,4,4,3,0,0,0,0,1,24
88,2,1,5,14,1,1,0,0,0,3,3,4,4,16,4,4,3,4,3,3,3,9,4,2,3,3,0,0,0,0,1,21
89,2,1,5,14,1,1,0,0,0,3,3,4,4,17,4,4,3,4,3,3,3,9,4,3,3,3,0,0,0,0,1,23
90,2,1,5,14,1,1,0,0,0,3,3,4,4,19,4,4,3,4,3,3,3,9,4,3,4,4,0,0,0,0,1,26
91,2,1,5,14,1,1,0,0,0,3,3,4,3,18,4,4,3,4,3,3,3,9,4,0,4,1,0,0,0,0,1,19
92,2,1,5,14,1,1,0,0,0,3,3,4,4,17,4,4,3,4,3,3,2,8,4,3,4,3,0,0,0,0,1,23
93,2,1,5,14,1,1,0,0,0,3,3,4,4,18,4,4,3,4,3,3,2,8,4,3,4,2,0,0,0,0,1,23
94,2,1,5,14,1,1,1,0,0,2,2,3,2,14,4,4,3,4,2,3,3,8,4,4,4,3,0,0,0,0,1,21
95,2,1,5,14,1,1,1,0,0,2,3,4,4,17,3,3,3,4,3,3,3,9,4,6,3,3,0,0,0,0,1,26
96,2,1,5,14,1,1,1,0,0,2,3,4,3,15,4,4,3,4,3,3,3,9,4,5,4,3,0,0,0,0,1,23
97,2,1,5,14,1,1,1,0,0,3,3,4,4,17,4,4,3,4,3,3,3,9,4,6,4,4,0,0,0,0,1,27
98,2,1,5,14,1,1,1,0,0,3,3,4,3,16,4,4,3,4,3,3,3,9,4,6,4,2,0,0,0,0,1,24
99,2,1,5,14,1,1,1,0,0,2,4,4,4,19,4,4,2,3,3,3,3,9,3,6,4,5,0,0,0,0,1,30
100,2,1,5,14,1,1,1,0,0,3,4,4,3,19,4,4,3,4,3,3,3,9,4,5,3,4,0,0,0,0,1,28
101,2,1,5,14,1,1,1,0,0,3,3,4,4,19,4,4,3,3,3,3,3,9,4,6,4,4,0,0,0,0,1,29
102,2,1,5,14,1,1,1,0,0,3,4,4,4,15,4,4,3,4,3,3,3,9,3,7,3,4,0,0,0,0,1,26
103,2,1,5,14,1,1,0,0,0,3,3,4,4,17,3,4,3,4,3,3,3,9,4,6,4,3,0,0,0,0,1,26
104,2,1,5,14,1,1,0,0,0,3,3,3,3,14,3,4,2,3,3,3,2,8,4,4,4,3,0,0,0,0,1,21
105,2,1,5,14,1,1,0,0,0,3,3,3,3,11,3,3,2,4,3,3,3,9,3,4,3,3,0,0,0,0,1,18
106,2,1,5,14,1,1,0,0,0,3,3,3,3,14,4,4,3,4,3,2,3,8,4,4,4,3,0,0,0,0,1,21
107,2,1,5,14,1,1,0,0,0,3,3,4,4,18,3,4,3,4,2,3,3,8,4,5,3,3,0,0,0,0,1,26
108,2,1,5,14,1,1,0,0,0,3,3,3,4,20,4,4,3,4,3,3,3,9,4,5,4,3,0,0,0,0,1,28
109,2,1,5,14,1,0,1,0,0,3,3,3,3,4,2,3,3,3,3,3,2,8,3,3,3,2,0,0,0,0,0,9
110,2,1,5,14,1,0,0,0,0,3,3,3,3,4,3,3,3,4,3,3,3,9,3,1,3,1,0,0,0,0,0,6
111,2,1,5,14,1,0,0,0,0,3,3,3,3,4,3,3,3,4,3,3,3,9,3,2,3,2,0,0,0,0,0,8
112,2,1,5,14,1,1,0,0,0,3,3,3,3,5,3,3,3,3,3,3,3,9,3,3,3,4,0,0,0,0,0,12
113,2,1,5,14,1,0,1,0,0,3,3,3,3,4,3,3,3,3,3,3,3,9,3,5,3,3,0,0,0,0,0,12
114,2,1,5,14,1,0,0,0,0,3,3,3,3,4,3,3,3,4,3,3,3,9,3,3,3,4,0,0,0,0,0,11
115,2,1,5,14,1,0,1,0,0,3,3,3,3,4,3,3,2,3,3,3,3,9,3,3,3,3,0,0,0,0,0,10
116,2,1,5,14,1,0,1,0,0,2,3,3,3,1,2,3,3,4,2,2,2,6,3,1,4,1,0,0,0,0,0,3
117,2,1,5,14,1,0,1,0,0,3,3,3,3,3,3,3,2,3,2,2,2,6,3,3,3,4,0,0,0,0,0,10
118,2,1,5,14,1,0,0,0,0,3,2,3,3,4,3,3,2,3,3,3,3,9,4,1,3,1,0,0,0,0,0,6
119,2,1,5,14,1,0,0,0,0,3,2,3,3,3,3,3,2,3,2,2,2,6,3,3,4,2,0,0,0,0,0,8
120,2,1,2,5,1,1,0,0,0,3,3,3,4,14,3,3,3,4,3,3,2,8,4,5,4,3,0,0,0,0,1,22
121,2,1,2,5,1,1,0,0,0,3,3,3,4,17,3,3,3,3,2,3,3,8,3,4,4,3,0,0,0,0,1,24
122,2,1,2,5,1,1,0,0,0,3,4,4,4,14,4,4,3,3,3,2,3,8,4,4,3,4,0,0,0,0,1,22
123,2,1,2,5,1,1,0,0,0,3,3,4,4,13,4,4,3,3,3,2,3,8,4,4,3,4,0,0,0,0,1,21
124,2,1,2,5,1,1,0,0,0,3,3,4,4,9,4,4,3,4,2,2,3,7,4,4,4,3,0,0,0,0,1,16
125,2,1,2,5,1,1,0,0,0,3,4,3,3,12,3,4,2,4,3,2,3,8,4,6,4,4,0,0,0,0,1,22
126,2,1,2,5,1,1,0,0,0,3,4,4,3,13,4,3,3,4,2,3,2,7,4,4,4,4,0,0,0,0,1,21
127,2,1,2,5,1,1,0,0,0,3,3,3,3,18,3,3,3,4,3,2,3,8,4,6,3,3,0,0,0,0,1,27
128,2,1,2,5,1,1,0,0,0,3,4,4,4,16,4,3,3,4,3,3,2,8,4,4,4,4,0,0,0,0,0,24
129,2,1,2,5,1,1,0,0,0,3,4,3,4,12,3,4,3,4,2,2,2,6,4,3,3,4,0,0,0,0,1,19
130,2,1,2,5,1,1,0,0,0,3,3,4,4,8,4,4,3,4,3,3,3,9,4,4,4,2,0,0,0,0,1,14
131,2,1,2,5,1,1,0,0,0,3,3,4,3,11,3,4,3,4,3,2,2,7,4,5,3,3,0,0,0,0,1,19
132,2,1,2,5,1,1,0,0,0,3,3,4,4,14,4,4,2,4,2,2,2,6,3,6,3,2,0,0,0,0,1,22
133,2,1,2,5,1,1,0,0,0,3,3,4,4,15,3,3,3,4,3,3,3,9,4,3,4,2,0,0,0,0,1,20
134,2,1,2,5,1,1,0,0,0,3,3,3,4,14,4,4,3,3,2,2,2,6,3,5,3,4,0,0,0,0,1,23
135,2,1,2,5,1,1,0,0,0,3,3,4,4,9,4,3,3,4,2,3,2,7,4,4,2,1,0,0,0,0,1,14
136,2,1,2,5,1,1,0,0,0,3,3,3,3,9,4,4,3,4,3,3,3,9,4,1,1,0,0,0,0,0,1,10
137,2,1,2,5,1,1,0,0,0,3,3,3,3,15,3,4,2,3,3,3,2,8,4,3,3,3,0,0,0,0,1,21
138,2,1,2,5,1,1,0,0,0,3,3,3,2,11,3,3,2,3,3,3,2,8,4,5,3,3,0,0,0,0,1,19
139,2,1,2,5,1,1,0,0,0,3,3,3,3,11,3,3,3,4,2,3,2,7,3,3,3,3,0,0,0,0,1,17
140,2,1,2,5,1,1,0,0,0,3,3,3,4,14,3,4,3,3,3,3,2,8,3,6,4,3,0,0,0,0,1,23
141,2,1,2,5,1,1,0,0,0,3,3,3,3,14,3,3,2,4,2,2,3,7,4,4,4,4,0,0,0,0,1,22
142,2,1,2,5,1,1,0,0,0,3,3,3,3,16,3,3,3,3,3,2,2,7,3,3,3,4,0,0,0,0,1,23
143,2,1,2,5,1,1,0,0,0,3,3,3,4,15,4,4,3,4,2,3,3,8,4,1,3,2,0,0,0,1,1,18
144,2,1,2,5,1,1,0,0,0,3,3,3,3,14,3,3,2,3,2,2,3,7,3,3,3,3,0,0,0,0,1,20
145,2,1,2,5,1,1,0,0,0,3,3,4,4,13,4,4,3,3,3,3,3,9,4,5,4,5,0,0,0,0,1,23
146,2,1,2,5,1,1,0,0,0,3,3,3,4,17,4,3,3,4,3,3,3,9,4,4,4,3,0,0,0,0,1,24
147,2,1,2,5,1,1,0,0,0,3,3,4,4,17,4,4,3,4,3,3,3,9,4,0,4,2,0,0,0,0,1,19
148,2,1,2,5,1,1,0,0,0,3,3,4,4,16,4,4,3,4,3,3,3,9,4,9,4,5,0,0,0,0,1,30
149,2,1,2,5,1,1,0,0,0,3,3,3,4,20,4,4,3,4,3,3,2,8,4,5,3,3,0,0,0,0,1,28
150,2,1,2,5,1,1,0,0,0,3,3,4,4,19,4,4,3,4,3,2,3,8,4,4,4,3,0,0,0,0,1,26
151,2,1,2,5,1,1,0,0,0,3,3,3,4,18,4,4,3,4,3,2,2,7,4,6,3,3,0,0,0,0,1,27
152,2,1,2,5,1,1,0,0,0,3,4,3,4,17,4,4,2,4,3,3,2,8,4,4,4,4,0,0,0,0,1,25
153,2,1,2,5,1,0,0,0,0,3,3,3,3,15,3,4,2,3,2,3,3,8,4,4,4,4,0,0,0,0,1,23
154,2,1,2,5,1,1,0,0,0,3,3,3,3,10,4,4,3,4,0,3,3,6,4,2,3,0,0,0,0,0,1,12
155,2,1,2,5,1,1,0,0,0,3,3,4,4,12,4,4,3,4,3,3,3,9,4,1,3,0,0,0,0,0,1,13
156,2,1,2,5,1,1,0,0,0,3,3,3,4,10,4,4,3,4,3,3,3,9,4,2,4,1,0,0,0,0,1,13
157,2,1,2,5,1,1,0,0,0,3,3,3,3,6,4,4,3,2,3,0,3,6,4,0,2,0,0,0,0,0,1,6
158,2,1,2,5,1,1,0,0,0,3,3,3,3,18,4,4,3,4,3,3,3,9,4,3,4,1,0,0,0,0,1,22
159,2,1,2,5,1,1,0,0,0,3,3,4,4,20,4,4,3,4,3,3,3,9,4,6,4,3,0,0,0,0,1,29
160,1,2,1,13,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,1,7,3,4,3,3,0,0,0,0,0,10
161,1,2,1,13,1,1,1,1,0,3,3,4,3,4,4,4,3,4,3,3,3,9,3,3,3,1,0,0,0,0,1,8
162,1,2,1,13,1,1,1,1,0,3,4,3,3,6,3,4,3,3,3,3,3,9,3,2,3,3,0,0,0,0,1,11
163,1,2,1,13,1,1,0,0,0,3,2,1,1,2,3,3,3,3,0,3,3,6,3,2,3,2,0,0,0,0,1,6
164,1,2,1,13,1,0,0,0,0,3,2,1,1,5,3,3,3,3,0,3,3,6,3,2,3,3,0,0,0,0,1,10
165,1,2,1,13,1,1,0,0,0,3,2,3,3,6,3,3,3,3,3,1,1,5,3,1,3,0,0,0,0,0,1,7
166,1,2,1,13,1,1,0,0,0,3,3,0,0,4,1,1,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,4
167,1,2,1,13,1,0,0,0,0,3,1,3,3,5,4,3,3,3,3,1,1,5,3,0,3,1,0,0,0,0,0,6
168,1,2,1,13,1,0,0,0,0,3,0,1,1,0,1,1,1,1,1,1,1,3,3,6,3,4,0,0,0,0,0,10
169,1,2,1,13,1,1,0,0,0,4,0,1,1,0,1,1,1,1,1,1,1,3,1,0,0,0,0,1,0,1,0,0
170,1,2,1,13,1,1,0,0,0,3,3,3,1,3,3,3,3,3,2,3,3,8,3,1,3,0,0,0,0,0,1,4
171,2,1,3,8,1,1,1,1,0,3,4,4,4,7,4,4,3,4,3,3,3,9,4,1,3,2,0,0,0,0,0,10
172,1,2,1,13,1,1,1,1,0,1,3,3,3,4,3,3,3,3,3,3,3,9,3,5,3,4,0,0,0,0,0,13
173,1,2,1,13,1,1,1,1,0,1,3,3,3,6,3,3,3,4,3,3,3,9,3,5,3,2,0,0,0,0,1,13
174,1,2,1,13,1,1,0,0,0,3,2,3,1,8,3,3,3,3,3,3,3,9,3,2,3,2,0,0,0,0,1,12
175,1,2,1,13,1,1,0,0,0,3,4,3,3,14,4,4,3,4,3,3,3,9,3,1,3,3,0,0,0,0,1,18
176,1,2,1,13,1,1,0,0,0,3,1,3,3,5,4,3,3,4,3,3,3,9,3,1,3,2,0,0,0,0,1,8
